SiteCode,DateTime,PM25Raw
carriage,2015-02-04 09:50:00,171
carriage,2015-02-04 09:51:00,166
carriage,2015-02-04 09:52:00,171
carriage,2015-02-04 09:53:00,160
carriage,2015-02-04 09:54:00,178
carriage,2015-02-04 09:55:00,178
carriage,2015-02-04 09:56:00,151
carriage,2015-02-04 09:57:00,140
carriage,2015-02-04 09:58:00,164
carriage,2015-02-04 09:59:00,137
carriage,2015-02-04 10:00:00,134
carriage,2015-02-04 10:01:00,124
carriage,2015-02-04 10:02:00,122
carriage,2015-02-04 10:03:00,122
carriage,2015-02-04 10:04:00,70
carriage,2015-02-04 10:05:00,75
carriage,2015-02-17 09:43:00,3
carriage,2015-02-17 09:44:00,4
carriage,2015-02-17 09:45:00,5
carriage,2015-02-17 09:46:00,5
carriage,2015-02-17 09:47:00,5
carriage,2015-02-17 09:48:00,6
carriage,2015-02-17 09:49:00,7
carriage,2015-02-17 09:50:00,8
carriage,2015-02-17 09:51:00,7
carriage,2015-02-17 09:52:00,9
carriage,2015-02-17 09:53:00,8
carriage,2015-02-17 09:54:00,7
carriage,2015-02-17 09:55:00,9
carriage,2015-02-17 09:56:00,9
carriage,2015-02-17 09:57:00,9
carriage,2015-02-17 09:58:00,10
carriage,2015-02-17 09:59:00,9
carriage,2015-02-17 10:00:00,7
carriage,2015-02-17 10:01:00,9
carriage,2015-02-17 10:02:00,10
carriage,2015-02-17 10:03:00,8
carriage,2015-02-17 10:04:00,13
carriage,2015-02-17 10:05:00,10
carriage,2015-02-17 10:06:00,10
carriage,2015-02-17 10:07:00,9
carriage,2015-02-17 10:08:00,10
carriage,2015-02-17 10:09:00,11
carriage,2015-02-17 10:10:00,10
carriage,2015-02-17 10:11:00,15
carriage,2015-02-17 10:12:00,18
carriage,2015-02-17 10:13:00,26
carriage,2015-02-17 10:14:00,25
carriage,2015-02-17 10:15:00,13
carriage,2015-02-17 10:16:00,13
carriage,2015-02-17 10:17:00,14
carriage,2015-02-17 10:18:00,11
carriage,2015-02-17 10:19:00,11
carriage,2015-02-17 10:20:00,12
carriage,2015-02-17 10:21:00,12
carriage,2015-02-17 10:22:00,11
carriage,2015-02-17 10:23:00,11
carriage,2015-02-17 10:24:00,13
carriage,2015-02-17 10:25:00,10
carriage,2015-02-17 10:26:00,10
carriage,2015-02-17 10:27:00,11
carriage,2015-02-17 10:28:00,10
carriage,2015-02-17 10:29:00,11
carriage,2015-02-17 10:30:00,11
carriage,2015-02-17 10:31:00,15
carriage,2015-02-17 10:32:00,70
carriage,2015-02-17 10:33:00,77
carriage,2015-02-17 10:34:00,58
carriage,2015-02-17 10:35:00,94
carriage,2015-02-17 10:36:00,117
carriage,2015-02-17 10:37:00,158
carriage,2015-02-17 10:38:00,140
carriage,2015-02-17 10:39:00,146
carriage,2015-02-17 10:40:00,138
carriage,2015-02-17 10:41:00,156
carriage,2015-02-17 10:42:00,162
carriage,2015-02-17 10:43:00,171
carriage,2015-02-17 10:44:00,168
carriage,2015-02-17 10:45:00,167
carriage,2015-02-17 10:46:00,178
carriage,2015-02-17 10:47:00,154
carriage,2015-02-17 10:48:00,173
carriage,2015-02-17 10:49:00,177
carriage,2015-02-17 10:50:00,194
carriage,2015-02-17 10:51:00,223
carriage,2015-02-17 10:52:00,192
carriage,2015-02-17 10:53:00,194
carriage,2015-02-17 10:54:00,160
carriage,2015-02-17 10:55:00,130
carriage,2015-02-17 10:56:00,136
carriage,2015-02-17 10:57:00,124
carriage,2015-02-17 10:58:00,107
carriage,2015-02-17 10:59:00,59
carriage,2015-02-17 11:00:00,51
carriage,2015-02-17 11:01:00,34
carriage,2015-02-17 11:02:00,15
