"line","start_x","start_y","end_x","end_y","pm25","start_station","end_station"
"Docklands Light Railway",537501,176892,538001,177292,8.08416666666667,"Deptford Bridge","Greenwich"
"Docklands Light Railway",537502,180492,537101,180792,9.08416666666669,"West India Quay","Westferry"
"Docklands Light Railway",537593,179815,537401,180092,17.0841666666667,"South Quay","Heron Quays"
"Docklands Light Railway",537593,179815,537919,179286,2.4,"South Quay","Crossharbour & London Arena"
"Docklands Light Railway",537702,180592,538402,180692,8.08416666666667,"Poplar","Blackwall"
"Docklands Light Railway",537801,176292,537501,176892,19.0841666666667,"Elverson Road","Deptford Bridge"
"Docklands Light Railway",537801,176292,538001,175991,14.0841666666667,"Elverson Road","Lewisham"
"Docklands Light Railway",537902.92930109,181433.384479856,538002,180992,10.0841666666667,"Langdon Park","All Saints"
"Docklands Light Railway",537919,179286,537902,178692,8.08416666666669,"Crossharbour & London Arena","Mudchute"
"Docklands Light Railway",538002,180992,537702,180592,6.08416666666667,"All Saints","Poplar"
"Docklands Light Railway",538187.395918761,184757.38755113,538573,184379,8.75083333333335,"Stratford International","Stratford"
"Docklands Light Railway",538222,177736,538001,177292,66.0841666666667,"Cutty Sark","Greenwich"
"Docklands Light Railway",538302,178292,538222,177736,15.0841666666667,"Island Gardens","Cutty Sark"
"Docklands Light Railway",538573,184379,537902,183592,11.0841666666667,"Stratford","Pudding Mill Lane"
"Docklands Light Railway",538702,180792,538402,180692,14.0841666666667,"East India","Blackwall"
"Docklands Light Railway",539100.037830311,183357.862233058,538763.066034454,184005.224848849,8.08416666666669,"Abbey Road","Stratford High Street"
"Docklands Light Railway",539148.330566789,182101.661998873,539445,181346,4.08416666666667,"Star Lane","Canning Town"
"Docklands Light Railway",539184,182935,539148.330566789,182101.661998873,10.0841666666667,"West Ham","Star Lane"
"Docklands Light Railway",539445,181346,538702,180792,18.0841666666667,"Canning Town","East India"
"Docklands Light Railway",540147,180834,539445,181346,10.7508333333334,"Royal Victoria","Canning Town"
"Docklands Light Railway",540147,180834,540812,180906,8.08416666666667,"Royal Victoria","Custom House"
"Docklands Light Railway",540472.949726526,180143.645517271,539445,181346,10.7508333333334,"West Silvertown","Canning Town"
"Docklands Light Railway",541130.087577199,180099.972186564,540472.949726526,180143.645517271,16.0841666666667,"Pontoon Dock","West Silvertown"
"Docklands Light Railway",542102,180792,541202,180892,7.08416666666667,"Royal Albert","Prince Regent"
"Docklands Light Railway",542102,180792,542702,180892,14.0841666666667,"Royal Albert","Beckton Park"
"Docklands Light Railway",542301.772492544,180287.216013281,541130.087577199,180099.972186564,24.0841666666667,"London City Airport","Pontoon Dock"
