name,line,order,section,x,y
Finchley Road,Jubilee,11,1,526262,184699
Harrow & Wealdstone,Bakerloo,25,1,515419,189464
Eastcote,Metropolitan,4,2,511190,187621
West Harrow,Metropolitan,2,2,514225,188053
Pinner,Metropolitan,3,3,512253,189465
Theydon Bois,Central,2,1,545528,199087
Grange Hill,Central,4,2,544955,192575
Rayners Lane,Metropolitan,3,2,512984,187491
Archway,Northern,4,6,529357,186820
Kenton,Bakerloo,24,1,516697,188333
Northwick Park,Metropolitan,13,1,516633,187976
West Hampstead,Jubilee,10,1,525552,184641
Willesden Green,Jubilee,8,1,523350,184877
Moor Park,Metropolitan,6,3,508581,193487
Moor Park,Metropolitan,1,4,508581,193487
Moor Park,Metropolitan,1,5,508581,193487
Swiss Cottage,Jubilee,12,1,526670,184292
Rickmansworth,Metropolitan,2,5,505715,194599
Edgware,Northern,10,9,519537,191942
Sudbury Hill,Piccadilly,7,6,515440,185546
South Harrow,Piccadilly,8,6,514312,186375
Hendon Central,Northern,7,9,522975,188649
Canons Park,Jubilee,2,1,518190,191258
Mill Hill East,Northern,2,7,524057,191454
Belsize Park,Northern,3,9,527380,185101
Harrow on the Hill,Metropolitan,14,1,515328,188028
Harrow on the Hill,Metropolitan,1,2,515328,188028
Harrow on the Hill,Metropolitan,1,3,515328,188028
Golders Green,Northern,5,9,525257,187473
Watford,Metropolitan,3,4,509579,196590
Northwood Hills,Metropolitan,4,3,510269,190271
Southgate,Piccadilly,3,1,529676,194272
Crossharbour & London Arena,Docklands Light Railway,6,5,537919,179286
Croxley,Metropolitan,2,4,507913,195399
Totteridge & Whetstone,Northern,4,8,526118,193947
Woodside Park,Northern,3,8,525725,192558
Northwood,Metropolitan,5,3,509235,191435
West Finchley,Northern,2,8,525537,191627
Epping,Central,1,1,546200,201545
East Finchley,Northern,6,6,527243,189197
Stanmore,Jubilee,1,1,517574,192563
Finchley Central,Northern,7,6,525285,190673
Finchley Central,Northern,1,7,525285,190673
Finchley Central,Northern,1,8,525285,190673
Oakwood,Piccadilly,2,1,529350,195962
Chorleywood,Metropolitan,3,5,502594,196087
Cockfosters,Piccadilly,1,1,528109,196387
Highgate,Northern,5,6,528524,188153
Hampstead,Northern,4,9,526393,185773
Chesham,Metropolitan,2,6,496063,201612
High Barnet,Northern,5,8,524989,196188
Chalfont & Latimer,Metropolitan,4,5,499647,197564
Chalfont & Latimer,Metropolitan,1,6,499647,197564
Chalfont & Latimer,Metropolitan,1,7,499647,197564
Amersham,Metropolitan,2,7,496387,198182
Wood Lane,Hammersmith & City,4,1,523332.531220599,180480.267469195
Wood Lane,Circle,7,2,523332.531220599,180480.267469195
Heathrow Terminal 5,Piccadilly,2,5,505112.655081914,175898.82999908
