segment,start_station,end_station,line_proximity,line,pm1,pm25,pm5,pm10,filter_line,filter_ds,pm25_fraction,pm1_fraction
EC GR,Earls Court,Gloucester Road,0,Piccadilly,0.121,0.174,0.198,0.233,5,1,0.7467811159,0.5193133047
EC GR,Earls Court,Gloucester Road,0,Piccadilly,0.122,0.178,0.202,0.234,5,1,0.7606837607,0.5213675214
EC GR,Earls Court,Gloucester Road,0,Piccadilly,0.113,0.163,0.187,0.211,5,1,0.7725118483,0.5355450237
EC GR,Earls Court,Gloucester Road,0,Piccadilly,0.115,0.165,0.188,0.216,5,1,0.7638888889,0.5324074074
EC GR,Earls Court,Gloucester Road,0,Piccadilly,0.144,0.205,0.233,0.267,5,1,0.7677902622,0.5393258427
EC GR,Earls Court,Gloucester Road,0,Piccadilly,0.139,0.202,0.228,0.26,5,1,0.7769230769,0.5346153846
EC GR,Earls Court,Gloucester Road,0,Piccadilly,0.141,0.204,0.232,0.264,5,1,0.7727272727,0.5340909091
GR SK,Gloucester Road,South Kensington,1,Piccadilly,0.144,0.205,0.231,0.262,5,1,0.7824427481,0.5496183206
GR SK,Gloucester Road,South Kensington,1,Piccadilly,0.139,0.2,0.226,0.25,5,1,0.8,0.556
GR SK,Gloucester Road,South Kensington,1,Piccadilly,0.142,0.205,0.233,0.268,5,1,0.7649253731,0.5298507463
GR SK,Gloucester Road,South Kensington,1,Piccadilly,0.157,0.223,0.254,0.287,5,1,0.7770034843,0.5470383275
GR SK,Gloucester Road,South Kensington,1,Piccadilly,0.148,0.213,0.24,0.277,5,1,0.7689530686,0.5342960289
GR SK,Gloucester Road,South Kensington,1,Piccadilly,0.138,0.203,0.226,0.252,5,1,0.8055555556,0.5476190476
GR SK,Gloucester Road,South Kensington,1,Piccadilly,0.14,0.201,0.227,0.258,5,1,0.7790697674,0.5426356589
GR SK,Gloucester Road,South Kensington,1,Piccadilly,0.137,0.194,0.221,0.25,5,1,0.776,0.548
GR SK,Gloucester Road,South Kensington,1,Piccadilly,0.141,0.202,0.229,0.253,5,1,0.7984189723,0.557312253
GR SK,Gloucester Road,South Kensington,1,Piccadilly,0.145,0.205,0.23,0.262,5,1,0.7824427481,0.5534351145
GR SK,Gloucester Road,South Kensington,1,Piccadilly,0.154,0.222,0.252,0.279,5,1,0.7956989247,0.5519713262
GR SK,Gloucester Road,South Kensington,1,Piccadilly,0.163,0.234,0.264,0.297,5,1,0.7878787879,0.5488215488
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.163,0.236,0.268,0.305,5,1,0.7737704918,0.5344262295
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.161,0.232,0.263,0.298,5,1,0.7785234899,0.5402684564
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.168,0.24,0.273,0.313,5,1,0.7667731629,0.5367412141
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.167,0.239,0.273,0.309,5,1,0.7734627832,0.5404530744
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.172,0.246,0.28,0.314,5,1,0.7834394904,0.5477707006
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.164,0.237,0.27,0.3,5,1,0.79,0.5466666667
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.165,0.237,0.268,0.302,5,1,0.7847682119,0.5463576159
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.168,0.241,0.273,0.314,5,1,0.7675159236,0.5350318471
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.158,0.227,0.254,0.293,5,1,0.7747440273,0.5392491468
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.151,0.22,0.247,0.27,5,1,0.8148148148,0.5592592593
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.147,0.209,0.238,0.266,5,1,0.7857142857,0.5526315789
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.149,0.213,0.241,0.27,5,1,0.7888888889,0.5518518519
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.145,0.209,0.235,0.259,5,1,0.8069498069,0.5598455598
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.138,0.2,0.225,0.252,5,1,0.7936507937,0.5476190476
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.14,0.201,0.228,0.257,5,1,0.7821011673,0.5447470817
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.147,0.209,0.236,0.27,5,1,0.7740740741,0.5444444444
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.151,0.219,0.246,0.273,5,1,0.8021978022,0.5531135531
SK K,South Kensington,Knightsbridge,2,Piccadilly,0.163,0.233,0.264,0.304,5,1,0.7664473684,0.5361842105
K HP,Knightsbridge,Hyde Park Corner,3,Piccadilly,0.164,0.241,0.273,0.306,5,1,0.7875816993,0.5359477124
K HP,Knightsbridge,Hyde Park Corner,3,Piccadilly,0.147,0.215,0.242,0.277,5,1,0.7761732852,0.5306859206
K HP,Knightsbridge,Hyde Park Corner,3,Piccadilly,0.159,0.231,0.26,0.289,5,1,0.7993079585,0.5501730104
K HP,Knightsbridge,Hyde Park Corner,3,Piccadilly,0.152,0.218,0.249,0.276,5,1,0.7898550725,0.5507246377
K HP,Knightsbridge,Hyde Park Corner,3,Piccadilly,0.153,0.22,0.249,0.284,5,1,0.7746478873,0.5387323944
K HP,Knightsbridge,Hyde Park Corner,3,Piccadilly,0.155,0.221,0.247,0.28,5,1,0.7892857143,0.5535714286
HP GP,Hyde Park Corner,Green Park,4,Piccadilly,0.157,0.226,0.255,0.287,5,1,0.787456446,0.5470383275
HP GP,Hyde Park Corner,Green Park,4,Piccadilly,0.158,0.227,0.257,0.29,5,1,0.7827586207,0.5448275862
HP GP,Hyde Park Corner,Green Park,4,Piccadilly,0.147,0.212,0.242,0.275,5,1,0.7709090909,0.5345454545
HP GP,Hyde Park Corner,Green Park,4,Piccadilly,0.137,0.195,0.222,0.255,5,1,0.7647058824,0.537254902
HP GP,Hyde Park Corner,Green Park,4,Piccadilly,0.133,0.193,0.218,0.249,5,1,0.7751004016,0.5341365462
HP GP,Hyde Park Corner,Green Park,4,Piccadilly,0.117,0.171,0.193,0.215,5,1,0.7953488372,0.5441860465
HP GP,Hyde Park Corner,Green Park,4,Piccadilly,0.115,0.166,0.188,0.215,5,1,0.7720930233,0.5348837209
HP GP,Hyde Park Corner,Green Park,4,Piccadilly,0.11,0.161,0.182,0.198,5,1,0.8131313131,0.5555555556
HP GP,Hyde Park Corner,Green Park,4,Piccadilly,0.103,0.148,0.165,0.184,5,1,0.8043478261,0.5597826087
HP GP,Hyde Park Corner,Green Park,4,Piccadilly,0.11,0.157,0.18,0.197,5,1,0.7969543147,0.5583756345
HP GP,Hyde Park Corner,Green Park,4,Piccadilly,0.104,0.15,0.168,0.195,5,1,0.7692307692,0.5333333333
GP PC,Green Park,Piccadilly Circus,5,Piccadilly,0.106,0.152,0.171,0.187,5,1,0.8128342246,0.5668449198
GP PC,Green Park,Piccadilly Circus,5,Piccadilly,0.106,0.153,0.173,0.194,5,1,0.7886597938,0.5463917526
GP PC,Green Park,Piccadilly Circus,5,Piccadilly,0.108,0.154,0.175,0.198,5,1,0.7777777778,0.5454545455
GP PC,Green Park,Piccadilly Circus,5,Piccadilly,0.101,0.146,0.163,0.186,5,1,0.7849462366,0.5430107527
GP PC,Green Park,Piccadilly Circus,5,Piccadilly,0.111,0.159,0.18,0.196,5,1,0.8112244898,0.5663265306
GP PC,Green Park,Piccadilly Circus,5,Piccadilly,0.109,0.157,0.178,0.199,5,1,0.7889447236,0.5477386935
GP PC,Green Park,Piccadilly Circus,5,Piccadilly,0.105,0.151,0.169,0.196,5,1,0.7704081633,0.5357142857
GP PC,Green Park,Piccadilly Circus,5,Piccadilly,0.103,0.147,0.168,0.185,5,1,0.7945945946,0.5567567568
GP PC,Green Park,Piccadilly Circus,5,Piccadilly,0.108,0.155,0.175,0.199,5,1,0.7788944724,0.5427135678
GP PC,Green Park,Piccadilly Circus,5,Piccadilly,0.109,0.158,0.177,0.195,5,1,0.8102564103,0.558974359
GP PC,Green Park,Piccadilly Circus,5,Piccadilly,0.113,0.161,0.181,0.208,5,1,0.7740384615,0.5432692308
GP PC,Green Park,Piccadilly Circus,5,Piccadilly,0.111,0.159,0.177,0.203,5,1,0.7832512315,0.5467980296
GP PC,Green Park,Piccadilly Circus,5,Piccadilly,0.114,0.164,0.183,0.202,5,1,0.8118811881,0.5643564356
PC LS,Piccadilly Circus,Leicester Square,6,Piccadilly,0.112,0.158,0.175,0.2,5,1,0.79,0.56
PC LS,Piccadilly Circus,Leicester Square,6,Piccadilly,0.104,0.15,0.169,0.189,5,1,0.7936507937,0.5502645503
PC LS,Piccadilly Circus,Leicester Square,6,Piccadilly,0.1,0.144,0.16,0.18,5,1,0.8,0.5555555556
PC LS,Piccadilly Circus,Leicester Square,6,Piccadilly,0.112,0.158,0.179,0.208,5,1,0.7596153846,0.5384615385
PC LS,Piccadilly Circus,Leicester Square,6,Piccadilly,0.106,0.153,0.172,0.196,5,1,0.7806122449,0.5408163265
PC LS,Piccadilly Circus,Leicester Square,6,Piccadilly,0.106,0.151,0.169,0.193,5,1,0.7823834197,0.5492227979
LS CG,Leicester Square,Covent Garden,7,Piccadilly,0.107,0.152,0.172,0.189,5,1,0.8042328042,0.5661375661
LS CG,Leicester Square,Covent Garden,7,Piccadilly,0.112,0.159,0.179,0.206,5,1,0.7718446602,0.5436893204
LS CG,Leicester Square,Covent Garden,7,Piccadilly,0.112,0.158,0.177,0.194,5,1,0.8144329897,0.5773195876
LS CG,Leicester Square,Covent Garden,7,Piccadilly,0.105,0.149,0.167,0.191,5,1,0.780104712,0.5497382199
LS CG,Leicester Square,Covent Garden,7,Piccadilly,0.103,0.148,0.167,0.189,5,1,0.7830687831,0.544973545
CG H,Covent Garden,Holborn,8,Piccadilly,0.1,0.141,0.159,0.181,5,1,0.7790055249,0.5524861878
CG H,Covent Garden,Holborn,8,Piccadilly,0.087,0.123,0.138,0.164,5,1,0.75,0.5304878049
CG H,Covent Garden,Holborn,8,Piccadilly,0.087,0.123,0.137,0.158,5,1,0.7784810127,0.5506329114
CG H,Covent Garden,Holborn,8,Piccadilly,0.096,0.134,0.15,0.173,5,1,0.774566474,0.5549132948
CG H,Covent Garden,Holborn,8,Piccadilly,0.097,0.139,0.156,0.173,5,1,0.8034682081,0.5606936416
CG H,Covent Garden,Holborn,8,Piccadilly,0.085,0.122,0.138,0.153,5,1,0.7973856209,0.5555555556
CG H,Covent Garden,Holborn,8,Piccadilly,0.092,0.13,0.148,0.168,5,1,0.7738095238,0.5476190476
CG H,Covent Garden,Holborn,8,Piccadilly,0.091,0.13,0.148,0.166,5,1,0.7831325301,0.5481927711
CG H,Covent Garden,Holborn,8,Piccadilly,0.093,0.13,0.147,0.17,5,1,0.7647058824,0.5470588235
CG H,Covent Garden,Holborn,8,Piccadilly,0.102,0.141,0.159,0.176,5,1,0.8011363636,0.5795454545
CG H,Covent Garden,Holborn,8,Piccadilly,0.103,0.142,0.16,0.184,5,1,0.7717391304,0.5597826087
CG H,Covent Garden,Holborn,8,Piccadilly,0.096,0.137,0.156,0.181,5,1,0.7569060773,0.5303867403
CG H,Covent Garden,Holborn,8,Piccadilly,0.086,0.123,0.139,0.156,5,1,0.7884615385,0.5512820513
H RS,Holborn,Russell Square,9,Piccadilly,0.091,0.13,0.147,0.172,5,1,0.7558139535,0.5290697674
H RS,Holborn,Russell Square,9,Piccadilly,0.1,0.14,0.158,0.184,5,1,0.7608695652,0.5434782609
H RS,Holborn,Russell Square,9,Piccadilly,0.113,0.16,0.181,0.206,5,1,0.7766990291,0.5485436893
H RS,Holborn,Russell Square,9,Piccadilly,0.099,0.14,0.159,0.183,5,1,0.7650273224,0.5409836066
H RS,Holborn,Russell Square,9,Piccadilly,0.117,0.163,0.184,0.209,5,1,0.7799043062,0.5598086124
H RS,Holborn,Russell Square,9,Piccadilly,0.123,0.173,0.195,0.227,5,1,0.7621145374,0.5418502203
H RS,Holborn,Russell Square,9,Piccadilly,0.118,0.165,0.19,0.22,5,1,0.75,0.5363636364
H RS,Holborn,Russell Square,9,Piccadilly,0.113,0.16,0.18,0.206,5,1,0.7766990291,0.5485436893
H RS,Holborn,Russell Square,9,Piccadilly,0.111,0.159,0.18,0.2,5,1,0.795,0.555
H RS,Holborn,Russell Square,9,Piccadilly,0.117,0.167,0.188,0.214,5,1,0.7803738318,0.546728972
H RS,Holborn,Russell Square,9,Piccadilly,0.122,0.17,0.195,0.218,5,1,0.7798165138,0.5596330275
H RS,Holborn,Russell Square,9,Piccadilly,0.114,0.161,0.183,0.209,5,1,0.7703349282,0.5454545455
RS KC,Russell Square,King's Cross St. Pancras,8,Piccadilly,0.118,0.167,0.189,0.222,5,1,0.7522522523,0.5315315315
RS KC,Russell Square,King's Cross St. Pancras,8,Piccadilly,0.116,0.164,0.185,0.211,5,1,0.7772511848,0.5497630332
RS KC,Russell Square,King's Cross St. Pancras,8,Piccadilly,0.134,0.188,0.213,0.244,5,1,0.7704918033,0.5491803279
RS KC,Russell Square,King's Cross St. Pancras,8,Piccadilly,0.128,0.182,0.207,0.234,5,1,0.7777777778,0.547008547
RS KC,Russell Square,King's Cross St. Pancras,8,Piccadilly,0.126,0.175,0.198,0.223,5,1,0.7847533632,0.5650224215
RS KC,Russell Square,King's Cross St. Pancras,8,Piccadilly,0.125,0.174,0.198,0.236,5,1,0.7372881356,0.5296610169
RS KC,Russell Square,King's Cross St. Pancras,8,Piccadilly,0.112,0.159,0.177,0.209,5,1,0.7607655502,0.5358851675
RS KC,Russell Square,King's Cross St. Pancras,8,Piccadilly,0.115,0.161,0.181,0.204,5,1,0.7892156863,0.5637254902
RS KC,Russell Square,King's Cross St. Pancras,8,Piccadilly,0.114,0.16,0.18,0.195,5,1,0.8205128205,0.5846153846
RS KC,Russell Square,King's Cross St. Pancras,8,Piccadilly,0.11,0.155,0.176,0.199,5,1,0.7788944724,0.5527638191
RS KC,Russell Square,King's Cross St. Pancras,8,Piccadilly,0.105,0.147,0.165,0.184,5,1,0.7989130435,0.5706521739
RS KC,Russell Square,King's Cross St. Pancras,8,Piccadilly,0.104,0.146,0.163,0.18,5,1,0.8111111111,0.5777777778
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.106,0.148,0.167,0.188,5,1,0.7872340426,0.5638297872
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.109,0.153,0.17,0.195,5,1,0.7846153846,0.558974359
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.108,0.152,0.17,0.193,5,1,0.7875647668,0.5595854922
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.097,0.138,0.155,0.174,5,1,0.7931034483,0.5574712644
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.088,0.123,0.139,0.153,5,1,0.8039215686,0.5751633987
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.084,0.118,0.133,0.152,5,1,0.7763157895,0.5526315789
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.075,0.106,0.12,0.132,5,1,0.803030303,0.5681818182
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.067,0.092,0.101,0.117,5,1,0.7863247863,0.5726495726
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.058,0.083,0.094,0.105,5,1,0.7904761905,0.5523809524
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.061,0.086,0.095,0.107,5,1,0.8037383178,0.5700934579
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.064,0.089,0.1,0.11,5,1,0.8090909091,0.5818181818
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.088,0.121,0.139,0.16,5,1,0.75625,0.55
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.109,0.156,0.179,0.206,5,1,0.7572815534,0.5291262136
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.104,0.149,0.17,0.195,5,1,0.7641025641,0.5333333333
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.106,0.154,0.176,0.2,5,1,0.77,0.53
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.123,0.173,0.193,0.225,5,1,0.7688888889,0.5466666667
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.131,0.187,0.212,0.234,5,1,0.7991452991,0.5598290598
KC CR,King's Cross St. Pancras,Caledonian Road,7,Piccadilly,0.113,0.163,0.183,0.203,5,1,0.802955665,0.5566502463
CR HR,Caledonian Road,Holloway Road,6,Piccadilly,0.135,0.194,0.216,0.243,5,1,0.7983539095,0.5555555556
CR HR,Caledonian Road,Holloway Road,6,Piccadilly,0.141,0.202,0.227,0.251,5,1,0.8047808765,0.561752988
CR HR,Caledonian Road,Holloway Road,6,Piccadilly,0.145,0.205,0.23,0.256,5,1,0.80078125,0.56640625
CR HR,Caledonian Road,Holloway Road,6,Piccadilly,0.136,0.196,0.222,0.243,5,1,0.8065843621,0.5596707819
CR HR,Caledonian Road,Holloway Road,6,Piccadilly,0.138,0.199,0.225,0.254,5,1,0.7834645669,0.5433070866
CR HR,Caledonian Road,Holloway Road,6,Piccadilly,0.139,0.196,0.22,0.253,5,1,0.7747035573,0.5494071146
CR HR,Caledonian Road,Holloway Road,6,Piccadilly,0.138,0.196,0.222,0.248,5,1,0.7903225806,0.5564516129
CR HR,Caledonian Road,Holloway Road,6,Piccadilly,0.121,0.172,0.192,0.212,5,1,0.8113207547,0.570754717
CR HR,Caledonian Road,Holloway Road,6,Piccadilly,0.154,0.22,0.245,0.271,5,1,0.8118081181,0.5682656827
CR HR,Caledonian Road,Holloway Road,6,Piccadilly,0.156,0.225,0.253,0.278,5,1,0.809352518,0.5611510791
CR HR,Caledonian Road,Holloway Road,6,Piccadilly,0.15,0.216,0.24,0.262,5,1,0.8244274809,0.572519084
CR HR,Caledonian Road,Holloway Road,6,Piccadilly,0.159,0.229,0.258,0.286,5,1,0.8006993007,0.5559440559
HR A,Holloway Road,Arsenal,5,Piccadilly,0.158,0.225,0.251,0.275,5,1,0.8181818182,0.5745454545
HR A,Holloway Road,Arsenal,5,Piccadilly,0.159,0.226,0.252,0.287,5,1,0.787456446,0.5540069686
HR A,Holloway Road,Arsenal,5,Piccadilly,0.155,0.221,0.248,0.285,5,1,0.7754385965,0.5438596491
HR A,Holloway Road,Arsenal,5,Piccadilly,0.144,0.205,0.229,0.248,5,1,0.8266129032,0.5806451613
HR A,Holloway Road,Arsenal,5,Piccadilly,0.153,0.221,0.245,0.273,5,1,0.8095238095,0.5604395604
HR A,Holloway Road,Arsenal,5,Piccadilly,0.134,0.192,0.213,0.232,5,1,0.8275862069,0.5775862069
A FP,Arsenal,Finsbury Park,4,Piccadilly,0.147,0.208,0.231,0.255,5,1,0.8156862745,0.5764705882
A FP,Arsenal,Finsbury Park,4,Piccadilly,0.14,0.199,0.221,0.24,5,1,0.8291666667,0.5833333333
A FP,Arsenal,Finsbury Park,4,Piccadilly,0.156,0.223,0.25,0.276,5,1,0.8079710145,0.5652173913
A FP,Arsenal,Finsbury Park,4,Piccadilly,0.156,0.221,0.246,0.273,5,1,0.8095238095,0.5714285714
A FP,Arsenal,Finsbury Park,4,Piccadilly,0.137,0.196,0.222,0.248,5,1,0.7903225806,0.5524193548
A FP,Arsenal,Finsbury Park,4,Piccadilly,0.138,0.193,0.218,0.237,5,1,0.8143459916,0.582278481
A FP,Arsenal,Finsbury Park,4,Piccadilly,0.133,0.189,0.211,0.234,5,1,0.8076923077,0.5683760684
A FP,Arsenal,Finsbury Park,4,Piccadilly,0.14,0.198,0.218,0.241,5,1,0.8215767635,0.5809128631
A FP,Arsenal,Finsbury Park,4,Piccadilly,0.141,0.199,0.221,0.243,5,1,0.8189300412,0.5802469136
A FP,Arsenal,Finsbury Park,4,Piccadilly,0.15,0.21,0.234,0.251,5,1,0.8366533865,0.5976095618
A FP,Arsenal,Finsbury Park,4,Piccadilly,0.146,0.204,0.228,0.251,5,1,0.812749004,0.5816733068
A FP,Arsenal,Finsbury Park,4,Piccadilly,0.155,0.221,0.246,0.265,5,1,0.8339622642,0.5849056604
FP MH,Finsbury Park,Manor House,3,Piccadilly,0.161,0.222,0.249,0.276,5,1,0.8043478261,0.5833333333
FP MH,Finsbury Park,Manor House,3,Piccadilly,0.174,0.243,0.27,0.296,5,1,0.8209459459,0.5878378378
FP MH,Finsbury Park,Manor House,3,Piccadilly,0.153,0.216,0.238,0.263,5,1,0.8212927757,0.5817490494
FP MH,Finsbury Park,Manor House,3,Piccadilly,0.135,0.193,0.212,0.229,5,1,0.8427947598,0.5895196507
FP MH,Finsbury Park,Manor House,3,Piccadilly,0.144,0.198,0.217,0.254,5,1,0.7795275591,0.5669291339
FP MH,Finsbury Park,Manor House,3,Piccadilly,0.146,0.201,0.222,0.245,5,1,0.8204081633,0.5959183673
FP MH,Finsbury Park,Manor House,3,Piccadilly,0.169,0.234,0.257,0.289,5,1,0.8096885813,0.5847750865
FP MH,Finsbury Park,Manor House,3,Piccadilly,0.173,0.239,0.271,0.303,5,1,0.7887788779,0.5709570957
FP MH,Finsbury Park,Manor House,3,Piccadilly,0.15,0.212,0.237,0.259,5,1,0.8185328185,0.5791505792
FP MH,Finsbury Park,Manor House,3,Piccadilly,0.166,0.234,0.26,0.291,5,1,0.8041237113,0.5704467354
FP MH,Finsbury Park,Manor House,3,Piccadilly,0.164,0.231,0.256,0.292,5,1,0.7910958904,0.5616438356
FP MH,Finsbury Park,Manor House,3,Piccadilly,0.17,0.237,0.266,0.302,5,1,0.7847682119,0.5629139073
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.175,0.244,0.274,0.302,5,1,0.8079470199,0.5794701987
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.165,0.232,0.256,0.282,5,1,0.8226950355,0.585106383
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.161,0.227,0.254,0.283,5,1,0.8021201413,0.5689045936
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.142,0.2,0.222,0.25,5,1,0.8,0.568
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.141,0.197,0.218,0.251,5,1,0.7848605578,0.561752988
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.123,0.177,0.194,0.217,5,1,0.8156682028,0.5668202765
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.118,0.168,0.189,0.204,5,1,0.8235294118,0.5784313725
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.108,0.151,0.168,0.184,5,1,0.8206521739,0.5869565217
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.113,0.159,0.177,0.2,5,1,0.795,0.565
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.113,0.161,0.178,0.199,5,1,0.8090452261,0.567839196
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.122,0.173,0.194,0.214,5,1,0.808411215,0.5700934579
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.115,0.163,0.184,0.205,5,1,0.7951219512,0.5609756098
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.101,0.142,0.159,0.176,5,1,0.8068181818,0.5738636364
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.122,0.172,0.193,0.215,5,1,0.8,0.5674418605
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.139,0.198,0.223,0.258,5,1,0.7674418605,0.5387596899
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.13,0.188,0.21,0.231,5,1,0.8138528139,0.5627705628
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.148,0.211,0.236,0.265,5,1,0.7962264151,0.558490566
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.147,0.211,0.238,0.268,5,1,0.7873134328,0.5485074627
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.142,0.201,0.227,0.265,5,1,0.758490566,0.5358490566
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.164,0.235,0.265,0.297,5,1,0.7912457912,0.5521885522
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.171,0.243,0.274,0.318,5,1,0.7641509434,0.5377358491
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.139,0.202,0.227,0.265,5,1,0.7622641509,0.5245283019
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.148,0.215,0.242,0.276,5,1,0.7789855072,0.5362318841
MH TL,Manor House,Turnpike Lane,2,Piccadilly,0.156,0.223,0.252,0.278,5,1,0.8021582734,0.5611510791
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.151,0.218,0.248,0.281,5,1,0.7758007117,0.537366548
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.155,0.222,0.252,0.287,5,1,0.7735191638,0.5400696864
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.161,0.23,0.259,0.296,5,1,0.777027027,0.5439189189
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.151,0.22,0.248,0.272,5,1,0.8088235294,0.5551470588
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.155,0.225,0.251,0.282,5,1,0.7978723404,0.5496453901
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.163,0.233,0.263,0.301,5,1,0.7740863787,0.5415282392
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.146,0.21,0.233,0.264,5,1,0.7954545455,0.553030303
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.129,0.188,0.21,0.235,5,1,0.8,0.5489361702
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.121,0.175,0.195,0.216,5,1,0.8101851852,0.5601851852
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.141,0.199,0.223,0.257,5,1,0.7743190661,0.5486381323
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.137,0.199,0.227,0.257,5,1,0.7743190661,0.53307393
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.125,0.18,0.206,0.237,5,1,0.7594936709,0.5274261603
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.127,0.182,0.206,0.239,5,1,0.7615062762,0.5313807531
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.133,0.193,0.219,0.248,5,1,0.7782258065,0.5362903226
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.128,0.184,0.206,0.24,5,1,0.7666666667,0.5333333333
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.139,0.199,0.223,0.254,5,1,0.7834645669,0.5472440945
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.137,0.2,0.224,0.262,5,1,0.7633587786,0.5229007634
TL WG,Turnpike Lane,Wood Green,1,Piccadilly,0.132,0.192,0.218,0.252,5,1,0.7619047619,0.5238095238
WG BG,Wood Green,Bounds Green,0,Piccadilly,0.139,0.198,0.227,0.259,5,1,0.7644787645,0.5366795367
WG BG,Wood Green,Bounds Green,0,Piccadilly,0.141,0.207,0.237,0.265,5,1,0.7811320755,0.5320754717
WG BG,Wood Green,Bounds Green,0,Piccadilly,0.133,0.192,0.216,0.243,5,1,0.7901234568,0.5473251029
WG BG,Wood Green,Bounds Green,0,Piccadilly,0.145,0.211,0.237,0.269,5,1,0.7843866171,0.5390334572
WG BG,Wood Green,Bounds Green,0,Piccadilly,0.142,0.204,0.228,0.25,5,1,0.816,0.568
WG BG,Wood Green,Bounds Green,0,Piccadilly,0.145,0.208,0.234,0.263,5,1,0.7908745247,0.5513307985
WG BG,Wood Green,Bounds Green,0,Piccadilly,0.138,0.198,0.224,0.251,5,1,0.7888446215,0.5498007968
