line,station,pm25,x,y,z
Circle,Great Portland Street,134.10,528862,182166,7.60
Circle,Hammersmith,26.10,523504,178567,4.60
Circle,High Street Kensington,19.80,525557,179519,5.70
Circle,King's Cross St. Pancras,86.40,530237,182944,7.90
Circle,Ladbroke Grove,18.90,524238,181324,-5.40
Circle,Latimer Road,9.00,523768,180907,-6.00
Circle,Liverpool Street,67.50,533111,181567,6.60
Circle,Mansion House,54.00,532348,180954,9.00
Circle,Monument,80.10,532708,181111,8.10
Circle,Moorgate,44.10,532689,181669,5.50
Circle,Notting Hill Gate,27.00,525254,180445,8.60
Circle,Paddington,31.95,526704,181176,6.20
Circle,Royal Oak,19.80,525803,181566,6.00
Circle,Shepherd's Bush Market,9.00,523198,180005,-5.90
Circle,Sloane Square,73.80,528080,178649,8.40
Circle,South Kensington,39.60,526865,178809,7.03
Circle,St. James's Park,81.00,529609,179473,5.80
Circle,Temple,63.00,530997,180802,5.80
Circle,Tower Hill,89.10,533591,180769,7.05
Circle,Victoria,61.20,528946,179122,7.60
Circle,Westbourne Park,10.80,524920,181756,5.50
Circle,Westminster,119.70,530254,179683,7.00
Circle,Wood Lane,11.70,523332.531220599,180480.267469195,-6.40
District,Acton Town,18.00,519461,179603,5.50
District,Aldgate East,120.60,533858,181351,8.99
District,Barking,16.20,544407,184335,2.60
District,Barons Court,17.10,524121,178314,2.70
District,Becontree,17.10,547632,184521,4.90
District,Blackfriars,173.70,531696,180878,7.30
District,Bow Road,162.00,537117,182725,5.20
District,Bromley-by-Bow,69.30,538036,182524,2.80
District,Cannon Street,114.30,532592,180895,6.60
District,Chiswick Park,18.00,520351,178684,-3.00
District,Dagenham East,9.90,550287,185025,3.60
District,Dagenham Heathway,28.80,549034,184711,4.80
District,Ealing Broadway,36.00,517955,180922,5.10
District,Ealing Common,19.80,518886,180410,5.00
District,Earl's Court,36.00,525509,178531,5.80
District,East Ham,16.20,542371,184219,5.30
District,Elm Park,16.20,552577,185726,5.70
District,Embankment,145.80,530407,180372,5.40
District,Gloucester Road,33.30,526235,178820,7.05
District,Hammersmith,36.00,523504,178567,4.60
District,Hornchurch,28.80,553939,186235,5.80
District,Mansion House,144.90,532348,180954,9.00
District,Mile End,202.50,536526,182519,7.28
District,Monument,207.90,532708,181111,8.10
District,Plaistow,23.40,540060,183297,6.60
District,Ravenscourt Park,34.20,522538,178718,-6.00
District,Sloane Square,68.40,528080,178649,8.40
District,South Kensington,88.20,526865,178809,7.03
District,Stamford Brook,35.10,521898,178776,-6.40
District,Stepney Green,179.10,535630,182141,7.18
District,St. James's Park,166.50,529609,179473,5.80
District,Temple,143.10,530997,180802,5.80
District,Tower Hill,101.70,533591,180769,7.05
District,Turnham Green,6.30,521267,178796,-5.90
District,Upminster,13.50,556145,186846,8.80
District,Upminster Bridge,21.60,555084,186798,-4.30
District,Upney,29.70,545847,184252,5.70
District,Upton Park,23.40,541259,183777,5.70
District,Victoria,86.40,528946,179122,7.60
District,West Ham,38.70,539184,182935,-3.70
District,West Kensington,36.90,524615,178363,5.65
District,Westminster,114.30,530254,179683,7.00
District,Whitechapel,167.40,534699,181843,2.89
Docklands Light Railway,Abbey Road,16.20,539100.037830311,183357.862233058,90.00
Docklands Light Railway,All Saints,16.20,538002,180992,90.00
Docklands Light Railway,Bank,79.80,532710,181106,90.00
Docklands Light Railway,Beckton,14.40,543102,181592,90.00
Docklands Light Railway,Beckton Park,16.20,542702,180892,90.00
Docklands Light Railway,Blackwall,17.10,538402,180692,90.00
Docklands Light Railway,Bow Church,15.30,537402,182792,90.00
Docklands Light Railway,Canary Wharf,16.20,537561,180150,90.00
Docklands Light Railway,Canning Town,16.65,539445,181346,90.00
Docklands Light Railway,Crossharbour & London Arena,15.30,537919,179286,6.60
Docklands Light Railway,Custom House,16.20,540812,180906,3.60
Docklands Light Railway,Cutty Sark,37.80,538222,177736,4.80
Docklands Light Railway,Cyprus,13.50,543302,180892,-2.40
Docklands Light Railway,Deptford Bridge,21.60,537501,176892,-2.40
Docklands Light Railway,Devons Road,15.30,537658,182225,90.00
Docklands Light Railway,East India,17.10,538702,180792,90.00
Docklands Light Railway,Elverson Road,18.00,537801,176292,90.00
Docklands Light Railway,Gallions Reach,13.50,543902,180992,90.00
Docklands Light Railway,Greenwich,26.10,538001,177292,90.00
Docklands Light Railway,Heron Quays,18.00,537401,180092,90.00
