line,station,pm25,particle_number,black_carbon,x,y,z
Docklands Light Railway,Stratford,19.35,5682.00,1.58,-0.00319169850983108,51.5413053643184,-90.00
Circle,Victoria,61.20,9018.50,11.55,-0.143851961630273,51.4963417077889,-7.60
Metropolitan,Ickenham,115.20,8210.00,2.80,-0.442030425383924,51.5619813209583,-4.90
Jubilee,Neasden,33.75,6750.00,2.75,-0.249779765269109,51.5539658784787,-5.80
Northern,Tooting Bec,256.50,20004.50,42.10,-0.159703699700897,51.4357569310035,-16.38
Docklands Light Railway,South Quay,17.10,6145.50,1.80,-0.0190945640119412,51.500532575423,-90.00
Circle,Cannon Street,86.40,11335.00,20.25,-0.0906943079881048,51.5114321259319,-6.60
Circle,Goldhawk Road,9.90,9767.50,1.90,-0.226746100750122,51.5019497588019,6.00
Northern,Oval,314.10,34050.00,64.80,-0.112889108167357,51.4821068965002,-15.72
Docklands Light Railway,Bank,79.80,12913.00,17.00,-0.0889155480325969,51.5133005871955,-90.00
Bakerloo,Elephant & Castle,129.60,9999.00,34.10,-0.100727263831892,51.4957771029258,-22.84
Hammersmith & City,Hammersmith,1.09,9980.00,9.15,-0.222399620478315,51.492567796395,-0.60
Piccadilly,Leicester Square,417.60,19086.00,53.75,-0.128230649446712,51.5112188594741,-33.23
Bakerloo,Warwick Avenue,425.70,13312.00,116.75,-0.183681886128078,51.5232683027171,-14.53
Northern,Tooting Broadway,191.70,18078.50,44.35,-0.16797862799996,51.4274335226491,-12.78
District,Upton Park,23.40,10317.00,2.10,0.0352726211286981,51.5352307176036,-5.70
Hammersmith & City,Stepney Green,18.54,10809.50,51.70,-0.0464636563245335,51.5219085262444,-7.18
Northern,Balham,228.60,17123.00,42.65,-0.153211771282041,51.4433255099198,-13.38
Northern,Clapham South,215.10,18108.50,41.00,-0.147986936119377,51.4526043628438,-17.88
Docklands Light Railway,Crossharbour & London Arena,15.30,5694.00,1.65,-0.0146075160559365,51.4956995690215,-6.60
District,Earl's Court,36.00,9999.00,4.60,-0.193547041993353,51.49180317265,-5.80
Central,Leyton,102.60,5463.00,6.65,-0.0056161942118769,51.5564362223943,-5.00
Circle,Liverpool Street,67.50,12483.00,8.20,-0.0829663006137775,51.5173490726498,-6.60
Central,Bank,324.00,20637.00,43.10,-0.0889155480325969,51.5133005871955,-20.51
Jubilee,Bermondsey,389.70,16572.50,50.10,-0.0636533757240928,51.4979495145491,-14.50
Piccadilly,Osterley,181.80,14020.50,9.30,-0.351991259897292,51.4809270173692,-5.80
Piccadilly,Hounslow East,243.00,12575.00,9.10,-0.356691314647296,51.4731696518638,5.80
Circle,Embankment,101.70,11470.00,16.40,-0.122355848615159,51.5072401817276,-5.40
Northern,Warren Street,198.09,22842.25,146.13,-0.138266814649741,51.5245076510164,-25.36
Metropolitan,King's Cross St. Pancras,153.90,12217.00,12.25,-0.123854353600157,51.5303929191438,-7.90
Victoria,Euston,128.81,23061.75,111.58,-0.133284961944729,51.5285920007108,-32.47
Northern,High Barnet,18.19,9848.67,10.39,-0.194757881316483,51.6506000026571,-12.60
Circle,Wood Lane,11.70,7626.00,1.50,-0.224199987535289,51.509799995393,6.40
Bakerloo,Waterloo,210.25,22481.67,128.07,-0.114065872463076,51.5035011567066,-17.37
Piccadilly,Northfields,249.30,14267.00,8.05,-0.314158805214806,51.4992731736597,-4.70
Central,South Ruislip,44.10,7152.00,5.10,-0.398652990805616,51.5565146654138,4.40
Circle,Notting Hill Gate,27.00,8732.50,2.60,-0.196539232647877,51.5090607971966,-8.60
Jubilee,Swiss Cottage,150.30,14941.00,25.50,-0.174764361213131,51.5433179092379,-16.89
District,Mansion House,144.90,9999.00,26.15,-0.0941862137440554,51.5120194809581,-9.00
Hammersmith & City,Ladbroke Grove,2.76,9164.50,10.85,-0.210862145965403,51.5171845007197,5.40
Piccadilly,Holloway Road,491.40,13242.50,46.35,-0.112923842542002,51.5527527919823,-13.60
Metropolitan,Amersham,66.60,6315.00,2.10,-0.607482072706272,51.6741488120354,4.30
Northern,Mill Hill East,2.87,8462.50,7.50,-0.209897789196127,51.6082623906291,5.80
Bakerloo,Stonebridge Park,83.70,8414.50,31.00,-0.275402773654959,51.5439232028611,7.50
Circle,Westbourne Park,10.80,6916.00,2.50,-0.200885304281578,51.5209166273187,-5.50
Jubilee,Willesden Green,30.15,5853.25,2.85,-0.22241001131371,51.5493100238182,-5.70
Piccadilly,Knightsbridge,487.80,16776.50,53.45,-0.160512490161738,51.5015500971063,-22.28
Circle,Mansion House,54.00,10798.50,12.40,-0.0941862137440554,51.5120194809581,-9.00
Northern,Charing Cross,263.54,27910.25,148.80,-0.124750098305713,51.5085913981351,-20.44
Jubilee,Waterloo,305.10,16060.75,49.83,-0.114065872463076,51.5035011567066,-30.02
Docklands Light Railway,West Ham,12.60,5066.33,1.23,0.00504272454821985,51.5281795214174,-90.00
Metropolitan,Rayners Lane,110.70,7515.00,2.65,-0.371003744746204,51.5749727124545,-6.20
Northern,King's Cross St. Pancras,307.80,15088.00,48.70,-0.123854353600157,51.5303929191438,-28.09
Central,East Acton,44.10,6459.00,4.18,-0.247509175481249,51.5165777369603,5.90
Bakerloo,Harrow & Wealdstone,65.70,7480.50,17.60,-0.335233858420498,51.5922123615567,2.20
District,Embankment,145.80,9999.00,24.70,-0.122355848615159,51.5072401817276,-5.40
Piccadilly,Piccadilly Circus,423.00,20704.00,57.85,-0.134000768241266,51.5100248729043,-32.23
Circle,Euston Square,81.90,10742.50,15.05,-0.135830965994489,51.5255570566997,-6.90
Docklands Light Railway,All Saints,16.20,6311.00,1.10,-0.0127457788920064,51.5110095309027,-90.00
District,Ravenscourt Park,34.20,9999.00,1.50,-0.23625470895942,51.4941348463481,6.00
Docklands Light Railway,Pontoon Dock,22.50,12185.50,2.75,0.0319440125723924,51.5022219953873,-90.00
Docklands Light Railway,Abbey Road,16.20,5413.00,1.45,0.00400001257789306,51.5319999954095,-90.00
Piccadilly,Russell Square,368.10,16433.50,43.65,-0.124306103194381,51.5229093853939,-33.18
Circle,Shepherd's Bush Market,9.00,8433.50,1.10,-0.226303429082421,51.5055580193547,5.90
Northern,Moorgate,253.80,17724.00,42.00,-0.0890062507802512,51.5183648779712,-25.26
Docklands Light Railway,West India Quay,15.30,10145.50,1.95,-0.0201410792277087,51.5066382805757,-90.00
Hammersmith & City,Edgware Road Circle,10.56,10453.00,30.00,-0.16767145700036,51.5199168979489,-5.20
Bakerloo,Kensal Green,84.60,9339.00,26.50,-0.224715786418646,51.5304609474319,-6.60
Jubilee,Wembley Park,25.92,5437.40,2.60,-0.279244880959252,51.56325910078,-4.30
Hammersmith & City,Aldgate East,7.93,10438.00,34.20,-0.0722888564344226,51.5152316709801,-8.99
Central,Mile End,282.60,13576.50,41.50,-0.0334107970620596,51.5250896088848,-7.17
Central,Lancaster Gate,369.00,25373.00,58.60,-0.175432757411055,51.5118187716128,-15.53
Piccadilly,Heathrow Terminal 4,264.06,18370.40,18.26,-0.446058244093134,51.4585526063954,
Hammersmith & City,Barking,1.44,5083.50,8.30,0.0808571915802601,51.5394488615307,-2.60
Northern,London Bridge,349.20,14592.00,55.20,-0.0869220539865052,51.5054985036613,-23.60
District,Stamford Brook,35.10,9999.00,1.25,-0.24544911601193,51.4947943238074,6.40
