nlc_code,station_name,station_borough,note,weekday_entry,weekday_entry_weight,saturday_entry,saturday_entry_weight,sunday_entry,sunday_entry_weight,weekday_exit,weekday_exit_weight,saturday_exit,satirday_exit_weight,sunday_exit,sunday_exit_weight,line_if_present
690,Royal Oak,City of Westminster,,4205,253,2445,52,1776,59,3880,253,2198,52,1686,59,
691,Ruislip,Hillingdon,,3056,253,2090,52,1255,59,3044,253,2003,52,1236,59,
692,Ruislip Gardens,Hillingdon,,2066,253,1158,52,624,59,1610,253,959,52,605,59,
693,Ruislip Manor,Hillingdon,,3379,253,1998,52,1141,59,3231,253,1844,52,1126,59,
694,Russell Square,Camden,,20395,253,15737,52,12408,59,20198,253,15963,52,11499,59,
698,Seven Sisters,Haringey,,26984,253,23167,52,17114,59,25381,253,20755,52,16622,59,
700,Shepherd's Bush,Hammersmith and Fulham,,33927,253,32490,52,21495,59,31439,253,30394,52,20025,59,
775,Shepherd's Bush Market,Hammersmith and Fulham,,5720,253,4710,52,3124,59,4707,253,3549,52,2725,59,
702,Sloane Square,Kensington and Chelsea,,27121,253,21866,52,13011,59,26081,253,21205,52,12374,59,
703,Snaresbrook,Redbridge,,4982,253,2589,52,1595,59,3853,253,2279,52,1559,59,
704,South Ealing,Ealing,,5837,253,4312,52,2874,59,5759,253,3960,52,2819,59,
707,South Harrow,Harrow,,4068,253,2809,52,1862,59,4115,253,2810,52,1892,59,
708,South Kensington,Kensington and Chelsea,,50469,253,44596,52,33912,59,49637,253,44196,52,32626,59,
709,South Kenton,Brent, previous years counts adjusted by average change between years by zone,1778,253,1996,52,1154,59,1027,253,647,52,712,59,
710,South Ruislip,Hillingdon,,2941,253,1882,52,1181,59,2577,253,1741,52,1084,59,
711,South Wimbledon,Merton,,7730,253,4936,52,3299,59,6838,253,4626,52,3269,59,
712,South Woodford,Redbridge,,7552,253,5029,52,2752,59,9136,253,5782,52,3425,59,
705,Southfields,Wandsworth,,10392,253,7412,52,4674,59,9109,253,6180,52,4366,59,
706,Southgate,Enfield,,8623,253,6250,52,4070,59,8867,253,6098,52,4209,59,
784,Southwark,Southwark,,31508,253,12263,52,8300,59,30503,253,12471,52,8017,59,
695,St. James's Park,City of Westminster,,29357,253,7928,52,5880,59,26864,253,7499,52,5511,59,
696,St. John's Wood,City of Westminster,,12600,253,7993,52,5766,59,12550,253,7971,52,5868,59,
697,St. Paul's,City of London,,29189,253,14853,52,10245,59,28868,253,14489,52,9368,59,
713,Stamford Brook,Hammersmith and Fulham,,4505,253,2981,52,1912,59,4151,253,2553,52,1787,59,
714,Stanmore,Harrow,,6196,253,4181,52,3619,59,6185,253,3816,52,3592,59,
715,Stepney Green,Tower Hamlets,,9916,253,6310,52,4349,59,8859,253,5243,52,4050,59,
716,Stockwell,Lambeth,,19564,253,13483,52,9652,59,14824,253,11349,52,8835,59,
717,Stonebridge Park,Brent,,4551,253,2648,52,1193,59,4337,253,2433,52,1553,59,
719,Stratford,Newham,,91067,253,100280,52,67894,59,82048,253,92440,52,61311,59,
720,Sudbury Hill,Ealing,,3489,253,2337,52,1486,59,3653,253,2236,52,1450,59,
721,Sudbury Town,Brent,,3635,253,2363,52,1584,59,3383,253,2024,52,1391,59,
723,Swiss Cottage,Camden,,12680,253,8608,52,5967,59,11717,253,7875,52,5580,59,
724,Temple,City of Westminster,,14693,253,6004,52,3611,59,15007,253,6564,52,3646,59,
725,Theydon Bois,Epping Forest,,1435,253,947,52,520,59,1331,253,861,52,512,59,
726,Tooting Bec,Wandsworth,,12971,253,9811,52,6438,59,11659,253,8411,52,6352,59,
727,Tooting Broadway,Wandsworth,,24714,253,19312,52,13026,59,23886,253,17622,52,12764,59,
728,Tottenham Court Road,City of Westminster,,26553,253,23003,52,14204,59,23245,253,17945,52,11586,59,
729,Tottenham Hale,Haringey,,19396,253,12807,52,11478,59,17984,253,11122,52,9757,59,
